,user,tweet,stem,label,tokenizing
164,Eny Wiandani,"Keinget 8 thn yg lalu, gara"" G bsa diinfus ditangan kanan & kiri jd mau diinfus dikaki, pas mau disuntik kekaki langsung dong ya kta sepakin perawatnya , dan akhirnya perawatnya ngalah ngelihat pasiennya nangis ketakutan disuntik dikaki , perawat…",keinget thn gara bsa infus tang kanan kiri jd infus kaki pas suntik kak langsung ya kta sepakin awat awat ngalah ngelihat pasien nang takut suntik kaki awat,1,"['keinget', 'thn', 'yg', 'lalu', 'gara', 'g', 'bsa', 'diinfus', 'ditangan', 'kanan', 'kiri', 'jd', 'mau', 'diinfus', 'dikaki', 'pas', 'mau', 'disuntik', 'kekaki', 'langsung', 'dong', 'ya', 'kta', 'sepakin', 'perawatnya', 'dan', 'akhirnya', 'perawatnya', 'ngalah', 'ngelihat', 'pasiennya', 'nangis', 'ketakutan', 'disuntik', 'dikaki', 'perawat']"
165,Azmi Adatihara,"Segitunya sih pak,g stiap org pembuluh darah nya d Cari dgn gmpg,kdang hrus  d tsuk ber x x Dan pindah"", Dan sring x Naik Klo d pke buat gerak, bhksn q dlu buat pipis aja darah Naik bwah botol infus.",segitunya sih stiap org buluh darah d cari dgn gmpg kdang hrus d tsuk ber pindah sring klo d pke gerak bhksn q dlu pipis aja darah bwah botol infus,0,"['segitunya', 'sih', 'pak', 'g', 'stiap', 'org', 'pembuluh', 'darah', 'nya', 'd', 'cari', 'dgn', 'gmpg', 'kdang', 'hrus', 'd', 'tsuk', 'ber', 'x', 'x', 'dan', 'pindah', 'dan', 'sring', 'x', 'naik', 'klo', 'd', 'pke', 'buat', 'gerak', 'bhksn', 'q', 'dlu', 'buat', 'pipis', 'aja', 'darah', 'naik', 'bwah', 'botol', 'infus']"
166,Bunarto,"Suruh pasang sendiri saja infusnya, dasar bpk arogan, dipikir gampang pasang infus anak balita. Hampir setiap balita sulit dipasang infus, jd tolong dimaklumi suster tsb. Sy yakin dia tak bermaksud untuk mencelakai si balita. Seharusnya si bpk bs menge…",suruh pasang infus dasar bpk arogan pikir gampang pasang infus anak balita balita sulit pasang infus jd tolong maklum suster tsb sy celaka si balita si bpk bs menge,-1,"['suruh', 'pasang', 'sendiri', 'saja', 'infusnya', 'dasar', 'bpk', 'arogan', 'dipikir', 'gampang', 'pasang', 'infus', 'anak', 'balita', 'hampir', 'setiap', 'balita', 'sulit', 'dipasang', 'infus', 'jd', 'tolong', 'dimaklumi', 'suster', 'tsb', 'sy', 'yakin', 'dia', 'tak', 'bermaksud', 'untuk', 'mencelakai', 'si', 'balita', 'seharusnya', 'si', 'bpk', 'bs', 'menge']"
167,Imam Jajuli,"Istri saya pas mau lahiran ampe bengkak dan pindah tangan bagi saya gak ada masalah selagi tetap berusaha demi pasien ,",istri pas lahir ampe bengkak pindah tangan selagi usaha pasien,0,"['istri', 'saya', 'pas', 'mau', 'lahiran', 'ampe', 'bengkak', 'dan', 'pindah', 'tangan', 'bagi', 'saya', 'gak', 'ada', 'masalah', 'selagi', 'tetap', 'berusaha', 'demi', 'pasien']"
168,Raja Tobing,"Memang dilema, tidak semua perawat  mahir memakaikan infus. Apalagi kalo vena pasien tidak terlihat. Maka pihak rs harus siapa tenaga medis yg trampil.",dilema awat mahir pakai infus kalo vena pasien rs tenaga medis trampil,1,"['memang', 'dilema', 'tidak', 'semua', 'perawat', 'mahir', 'memakaikan', 'infus', 'apalagi', 'kalo', 'vena', 'pasien', 'tidak', 'terlihat', 'maka', 'pihak', 'rs', 'harus', 'siapa', 'tenaga', 'medis', 'yg', 'trampil']"
169,Didi Herdian,"Kesel bolleh, tapi jangan pelampiasan emosi seperti binat*ng (apalagi yg dilawan perempuan)",kesel bolleh lampias emosi binat ng lawan perempuan,-1,"['kesel', 'bolleh', 'tapi', 'jangan', 'pelampiasan', 'emosi', 'seperti', 'binat', 'ng', 'apalagi', 'yg', 'dilawan', 'perempuan']"
170,Fii Dhi,"Anak umur 2 tahun sgitu memang aktif"" Nya , sama kayak anak ku umur 2 tahun kmrin juga masuk opname, karna sring di buat gerak tangan jadi bengkak, darahnya juga agak kluar jadi menyumbat jalan cairan infus nya, namanya juga anak kecil pasti ya nangis …",anak umur sgitu aktif kayak anak ku umur kmrin masuk opname karna sring gerak tangan bengkak darah kluar sumbat jalan cair infus nama anak ya nang,-1,"['anak', 'umur', 'tahun', 'sgitu', 'memang', 'aktif', 'nya', 'sama', 'kayak', 'anak', 'ku', 'umur', 'tahun', 'kmrin', 'juga', 'masuk', 'opname', 'karna', 'sring', 'di', 'buat', 'gerak', 'tangan', 'jadi', 'bengkak', 'darahnya', 'juga', 'agak', 'kluar', 'jadi', 'menyumbat', 'jalan', 'cairan', 'infus', 'nya', 'namanya', 'juga', 'anak', 'kecil', 'pasti', 'ya', 'nangis']"
171,Tak Ada Nama,Biasanya org tua susah bget tuk cari urat yg mau di pasang infus.. Pasienku sampe berulang kali suntik gagal sekali bisa blm genap 4 jam udah bengkak terpaksa copot Dan cari lg. Kurang sabar za anak pasien,org tua susah bget tuk cari urat pasang infus pasien sampe ulang kali suntik gagal blm genap jam udah bengkak paksa copot cari lg sabar za anak pasien,-1,"['biasanya', 'org', 'tua', 'susah', 'bget', 'tuk', 'cari', 'urat', 'yg', 'mau', 'di', 'pasang', 'infus', 'pasienku', 'sampe', 'berulang', 'kali', 'suntik', 'gagal', 'sekali', 'bisa', 'blm', 'genap', 'jam', 'udah', 'bengkak', 'terpaksa', 'copot', 'dan', 'cari', 'lg', 'kurang', 'sabar', 'za', 'anak', 'pasien']"
172,Vie Vie,Bnyk yg masih blajar malapraktek.. Emg gk sakit apa dtusuk2 pke jarum.. Saya sempet kesel.. Bisa gk sih sus ksian ibu saya darahny udh bnyk gk bisa2.. Giliran datg yg satunya lgsg bisa.. Duh aplg ank kecil mna tega liatnya.. Jambak aj bu sya klo dposis…,bnyk blajar malapraktek emg gk sakit dtusuk pke jarum sempet kesel gk sih sus ksi darahny udh bnyk gk gilir datg satu lgsg duh aplg ank mna tega liat jambak aj bu sya klo dposis,-1,"['bnyk', 'yg', 'masih', 'blajar', 'malapraktek', 'emg', 'gk', 'sakit', 'apa', 'dtusuk', 'pke', 'jarum', 'saya', 'sempet', 'kesel', 'bisa', 'gk', 'sih', 'sus', 'ksian', 'ibu', 'saya', 'darahny', 'udh', 'bnyk', 'gk', 'bisa', 'giliran', 'datg', 'yg', 'satunya', 'lgsg', 'bisa', 'duh', 'aplg', 'ank', 'kecil', 'mna', 'tega', 'liatnya', 'jambak', 'aj', 'bu', 'sya', 'klo', 'dposis']"
173,Gunawan Kong,Satpam kurang sigap itu korban udah di Jambak cuma diliatin malahan sempat mundur..mohon pihak manajemen atau biro yg berkaitan evaluasi kinerja satpam yg bersangkutan mengenai tugas utama seorang penjaga keamanan...kasian korban,satpam sigap korban udah jambak diliatin mundur mohon manajemen biro kait evaluasi kerja satpam sangkut tugas utama jaga aman kasi korban,-1,"['satpam', 'kurang', 'sigap', 'itu', 'korban', 'udah', 'di', 'jambak', 'cuma', 'diliatin', 'malahan', 'sempat', 'mundur', 'mohon', 'pihak', 'manajemen', 'atau', 'biro', 'yg', 'berkaitan', 'evaluasi', 'kinerja', 'satpam', 'yg', 'bersangkutan', 'mengenai', 'tugas', 'utama', 'seorang', 'penjaga', 'keamanan', 'kasian', 'korban']"
174,Antonia Dwi Suryanti,Duh pak arogan sekali pak...seharusnya bs d bicarakan baik2...perwat masang ato melepas infus it sdh ad SOP nya.,duh arogan bs d bicara perwat masang ato lepas infus sdh ad sop,-1,"['duh', 'pak', 'arogan', 'sekali', 'pak', 'seharusnya', 'bs', 'd', 'bicarakan', 'baik', 'perwat', 'masang', 'ato', 'melepas', 'infus', 'it', 'sdh', 'ad', 'sop', 'nya']"
175,Nyeqick Qicko,Apapun itu terlepas ntah crta awal jg bagaimana hingga akhirnya sprti di video.,apa lepas ntah crta sprti video,-1,"['apapun', 'itu', 'terlepas', 'ntah', 'crta', 'awal', 'jg', 'bagaimana', 'hingga', 'akhirnya', 'sprti', 'di', 'video']"
176,Sulis Tyo,"Aq juga pernah anaku pas sakit sudah sakit dicublas cubles jarum nggak bisa2 akhire aq marah2 terus nggak jadi dinifus lanhsung keruangan,e sorenya didatangi kepala perawat mau pasang infus dia jamin langsung bisa benar juga di tangani perawat asli sek…",aq ana pas sakit sakit dicublas cubles jarum nggak akhire aq marah nggak dinifus lanhsung ruang e sore datang kepala awat pasang infus jamin langsung tangan awat asli sek,-1,"['aq', 'juga', 'pernah', 'anaku', 'pas', 'sakit', 'sudah', 'sakit', 'dicublas', 'cubles', 'jarum', 'nggak', 'bisa', 'akhire', 'aq', 'marah', 'terus', 'nggak', 'jadi', 'dinifus', 'lanhsung', 'keruangan', 'e', 'sorenya', 'didatangi', 'kepala', 'perawat', 'mau', 'pasang', 'infus', 'dia', 'jamin', 'langsung', 'bisa', 'benar', 'juga', 'di', 'tangani', 'perawat', 'asli', 'sek']"
177,Dwi Ismi,"Tidak semua tpi ada sebagian sllu aja ada perawatan yg junior, yg kurang paham, yg seniornya kdang sambil ngobrol, kita orang tua betul"" Memperhatikan tu jarum nyucuk ketangan buah hati yg kecil, anak kecil lho, klo anak Bpk itu sdah dewasa, gx mungkin…",tpi sllu aja awat junior paham senior kdang ngobrol orang tua perhati jarum nyucuk ketang buah hati anak lho klo anak bpk sdah dewasa gx,1,"['tidak', 'semua', 'tpi', 'ada', 'sebagian', 'sllu', 'aja', 'ada', 'perawatan', 'yg', 'junior', 'yg', 'kurang', 'paham', 'yg', 'seniornya', 'kdang', 'sambil', 'ngobrol', 'kita', 'orang', 'tua', 'betul', 'memperhatikan', 'tu', 'jarum', 'nyucuk', 'ketangan', 'buah', 'hati', 'yg', 'kecil', 'anak', 'kecil', 'lho', 'klo', 'anak', 'bpk', 'itu', 'sdah', 'dewasa', 'gx', 'mungkin']"
178,Siti Nur Bariyah,Duh itu kan tergantung pasien nya kadang emang agak susah nyari yg buat d infus saya aja sering bgtu dan kadang smpe pindah beberapa x,duh gantung pasien kadang emang susah nyari d infus aja bgtu kadang smpe pindah,-1,"['duh', 'itu', 'kan', 'tergantung', 'pasien', 'nya', 'kadang', 'emang', 'agak', 'susah', 'nyari', 'yg', 'buat', 'd', 'infus', 'saya', 'aja', 'sering', 'bgtu', 'dan', 'kadang', 'smpe', 'pindah', 'beberapa', 'x']"
179,Fransiska Rina,bapaknya kaku amat. waktu anaknya sy opaname jg gtu anaknya terllau gendut dan gak bs diam makanya jarumnya suka lepas.tp sy gk panik krn emang anak sy gak bs diam...,bapak kaku anak sy opaname gtu anak terllau gendut bs diam jarum suka lepas sy gk panik krn emang anak sy bs diam,-1,"['bapaknya', 'kaku', 'amat', 'waktu', 'anaknya', 'sy', 'opaname', 'jg', 'gtu', 'anaknya', 'terllau', 'gendut', 'dan', 'gak', 'bs', 'diam', 'makanya', 'jarumnya', 'suka', 'lepas', 'tp', 'sy', 'gk', 'panik', 'krn', 'emang', 'anak', 'sy', 'gak', 'bs', 'diam']"
180,Abdul Sukur,"Kl mau suruh pasang sendiri tu infus, hargai profesi org lain...pake otak pak, jgn emosi yg km bawa kemana...NOL",kl suruh pasang infus harga profesi org pake otak jgn emosi km bawa mana nol,0,"['kl', 'mau', 'suruh', 'pasang', 'sendiri', 'tu', 'infus', 'hargai', 'profesi', 'org', 'lain', 'pake', 'otak', 'pak', 'jgn', 'emosi', 'yg', 'km', 'bawa', 'kemana', 'nol']"
181,Keisha Cia,"Lha klo emg pembuluh darah korbang kecil emg sulit,,, klrga saya tergolong punya pembuluh drah kecil,,, jd tiap kali mau di infus rata2 lebih dr 3x bahkan pernah sampai 8x ,,, bukan dr dokternya yg gg pengalaman,, emang dr pembuluh drah pasien yg kecil…",lha klo emg buluh darah korbang emg sulit klrga golong buluh drah jd kali infus dr dr dokter gg alam emang dr buluh drah pasien,1,"['lha', 'klo', 'emg', 'pembuluh', 'darah', 'korbang', 'kecil', 'emg', 'sulit', 'klrga', 'saya', 'tergolong', 'punya', 'pembuluh', 'drah', 'kecil', 'jd', 'tiap', 'kali', 'mau', 'di', 'infus', 'rata', 'lebih', 'dr', 'x', 'bahkan', 'pernah', 'sampai', 'x', 'bukan', 'dr', 'dokternya', 'yg', 'gg', 'pengalaman', 'emang', 'dr', 'pembuluh', 'drah', 'pasien', 'yg', 'kecil']"
182,Marpuah Puah,"Kasar amat pak sama perempuan, anak sy pernah di pasang inpus salah, tgn nya sampe melendung air impusan gak masuk ke urat nya,tapi suami sy tegur nya gak pake marah,",kasar perempuan anak sy pasang inpus salah tgn sampe lendung air impusan masuk urat suami sy tegur pake marah,-1,"['kasar', 'amat', 'pak', 'sama', 'perempuan', 'anak', 'sy', 'pernah', 'di', 'pasang', 'inpus', 'salah', 'tgn', 'nya', 'sampe', 'melendung', 'air', 'impusan', 'gak', 'masuk', 'ke', 'urat', 'nya', 'tapi', 'suami', 'sy', 'tegur', 'nya', 'gak', 'pake', 'marah']"
183,Edi Kusnadi,Pernaha Anak saya di infus ampe gagal beberapa  kali..,pernaha anak infus ampe gagal kali,-1,"['pernaha', 'anak', 'saya', 'di', 'infus', 'ampe', 'gagal', 'beberapa', 'kali']"
184,Yoga Irawan,"Jika ini benar terjadi seperti yg di ceritakan , Lbh bagus pasien buaT RS Sendiri , Perawat , Dr juga manusia.",cerita lbh bagus pasien rs awat dr manusia,1,"['jika', 'ini', 'benar', 'terjadi', 'seperti', 'yg', 'di', 'ceritakan', 'lbh', 'bagus', 'pasien', 'buat', 'rs', 'sendiri', 'perawat', 'dr', 'juga', 'manusia']"
185,Dian Dili Trisnowati,saya saja yg sdh tua..dcari pembuluh darahny sampe 4 kali g ketemu.sampai2 perwatny keluar keringet..sesekali blg maaf.susah banget.ktny MBlembut banget pembuluh darahnya.akhirny bisa ketemu dcari pake jarum untuk anak kecil..,sdh tua dcari buluh darahny sampe kali ketemu perwatny keringet blg maaf susah banget ktny mblembut banget buluh darah akhirny ketemu dcari pake jarum anak,0,"['saya', 'saja', 'yg', 'sdh', 'tua', 'dcari', 'pembuluh', 'darahny', 'sampe', 'kali', 'g', 'ketemu', 'sampai', 'perwatny', 'keluar', 'keringet', 'sesekali', 'blg', 'maaf', 'susah', 'banget', 'ktny', 'mblembut', 'banget', 'pembuluh', 'darahnya', 'akhirny', 'bisa', 'ketemu', 'dcari', 'pake', 'jarum', 'untuk', 'anak', 'kecil']"
186,Rahadian Lucky Ashshidiq,"Kadang pihak rumasakit juga managemen SDMnya kurang diperhatikan. Anak saya aja panas kejang cuma dikasih obag kejangnya aja tanpa penurun panasnya, yaiyalah akhirnya harus rawat inap gegara panasnya gak turun turun. Setelah dipelajari bangke itu oknum…",kadang rumasakit managemen sdmnya perhati anak aja panas kejang kasih obag kejang aja turun panas yaiyalah rawat inap gegara panas turun turun ajar bangke oknum,-1,"['kadang', 'pihak', 'rumasakit', 'juga', 'managemen', 'sdmnya', 'kurang', 'diperhatikan', 'anak', 'saya', 'aja', 'panas', 'kejang', 'cuma', 'dikasih', 'obag', 'kejangnya', 'aja', 'tanpa', 'penurun', 'panasnya', 'yaiyalah', 'akhirnya', 'harus', 'rawat', 'inap', 'gegara', 'panasnya', 'gak', 'turun', 'turun', 'setelah', 'dipelajari', 'bangke', 'itu', 'oknum']"
187,Septian Syihab,Kalian tau gak betapa sulitnya memasang jarum infus terutama ke anak2 .. kalo orng dewasa sih gampang pembuluh darah nya keliatan .anak2 kadang sulit nemuin nya . Kalo memamng perawat nya salah gak perlu lah arogan kaya gitu bisa di bicarakan baik baik…,tau betapa sulit pasang jarum infus anak kalo orng dewasa sih gampang buluh darah liat anak kadang sulit nemuin kalo memamng awat salah arogan kaya gitu bicara,1,"['kalian', 'tau', 'gak', 'betapa', 'sulitnya', 'memasang', 'jarum', 'infus', 'terutama', 'ke', 'anak', 'kalo', 'orng', 'dewasa', 'sih', 'gampang', 'pembuluh', 'darah', 'nya', 'keliatan', 'anak', 'kadang', 'sulit', 'nemuin', 'nya', 'kalo', 'memamng', 'perawat', 'nya', 'salah', 'gak', 'perlu', 'lah', 'arogan', 'kaya', 'gitu', 'bisa', 'di', 'bicarakan', 'baik', 'baik']"
188,Febrian Dio,Sebagai orang Palembang gua malu banget lihat kelakuan bapak  kayak ga ada cara lain aja buat nyelesaiin masalah nya,orang palembang gua malu banget lihat laku kayak ga aja nyelesaiin,-1,"['sebagai', 'orang', 'palembang', 'gua', 'malu', 'banget', 'lihat', 'kelakuan', 'bapak', 'kayak', 'ga', 'ada', 'cara', 'lain', 'aja', 'buat', 'nyelesaiin', 'masalah', 'nya']"
189,Ana Maria Srisunarmi,Suamiku waktu mau d katerusasi jantung d pasang infus sampe 7 c baru bisa n sempat emosi karena sakit tp engga sampe begitu deh,suami d katerusasi jantung d pasang infus sampe c n emosi sakit engga sampe,-1,"['suamiku', 'waktu', 'mau', 'd', 'katerusasi', 'jantung', 'd', 'pasang', 'infus', 'sampe', 'c', 'baru', 'bisa', 'n', 'sempat', 'emosi', 'karena', 'sakit', 'tp', 'engga', 'sampe', 'begitu', 'deh']"
190,Septia Septia,"Mangkannya ya kl d R**l  pas lagi anak sakit selalu orang tuax g boleh ikut masuk waktu pasang infus, takut gak tega, karena g semudah pasang infus k orang dewasa, kl anak kecil tu lembut banget ,jadi cari pembuluh nya susah, aq dah pengalaman anak sak…",mang ya kl d r l pas anak sakit orang tuax masuk pasang infus takut tega mudah pasang infus k orang dewasa kl anak lembut banget cari buluh susah aq dah alam anak sak,0,"['mangkannya', 'ya', 'kl', 'd', 'r', 'l', 'pas', 'lagi', 'anak', 'sakit', 'selalu', 'orang', 'tuax', 'g', 'boleh', 'ikut', 'masuk', 'waktu', 'pasang', 'infus', 'takut', 'gak', 'tega', 'karena', 'g', 'semudah', 'pasang', 'infus', 'k', 'orang', 'dewasa', 'kl', 'anak', 'kecil', 'tu', 'lembut', 'banget', 'jadi', 'cari', 'pembuluh', 'nya', 'susah', 'aq', 'dah', 'pengalaman', 'anak', 'sak']"
191,Eno Tris Sut,"Anak sy prnh sakit di rawat, swktu suntik infus, gk ada darahnya, akhirnya suntiknya pindah lagi di lokasi lain, tpi gak ada darahnya juga,  mau gk mau pindah lgi, sampe 3 kali suntikan , baru ada darahnya, , kasihan mana masih umur 3 tahun,  dalam hat…",anak sy prnh sakit rawat swktu suntik infus gk darah suntik pindah lokasi tpi darah gk pindah lgi sampe kali sunti darah kasihan umur hat,-1,"['anak', 'sy', 'prnh', 'sakit', 'di', 'rawat', 'swktu', 'suntik', 'infus', 'gk', 'ada', 'darahnya', 'akhirnya', 'suntiknya', 'pindah', 'lagi', 'di', 'lokasi', 'lain', 'tpi', 'gak', 'ada', 'darahnya', 'juga', 'mau', 'gk', 'mau', 'pindah', 'lgi', 'sampe', 'kali', 'suntikan', 'baru', 'ada', 'darahnya', 'kasihan', 'mana', 'masih', 'umur', 'tahun', 'dalam', 'hat']"
192,M Yusuf Arifin,bapaknya itu kok sok jago beraninya ama perempuan biarkan aja tu anaknya ndak usah di urus biar di obati sendiri ama bapaknya . anak ku di tubles sampe 3- 5 kali tp saya ndak segitu bngt dasar,bapak sok jago berani ama perempuan biar aja anak ndak urus biar obat ama bapak anak ku tubles sampe kali ndak segitu bngt dasar,-1,"['bapaknya', 'itu', 'kok', 'sok', 'jago', 'beraninya', 'ama', 'perempuan', 'biarkan', 'aja', 'tu', 'anaknya', 'ndak', 'usah', 'di', 'urus', 'biar', 'di', 'obati', 'sendiri', 'ama', 'bapaknya', 'anak', 'ku', 'di', 'tubles', 'sampe', 'kali', 'tp', 'saya', 'ndak', 'segitu', 'bngt', 'dasar']"
193,Siti Aisyah,"Saya berulang kali nambah dara HB, berulang kali di infus di copot di pasangin LG, ya kdng keluar darah, yg masang kan manusia yg pastix punyk kelemahan dan kekurangan, ingt yg smpurna itu Tuhan, kasian jangan smpy di jmbk seperti tu",ulang kali nambah dara hb ulang kali infus copot pasangin lg ya kdng darah masang manusia pastix punyk lemah kurang ingt smpurna tuhan kasi smpy jmbk,-1,"['saya', 'berulang', 'kali', 'nambah', 'dara', 'hb', 'berulang', 'kali', 'di', 'infus', 'di', 'copot', 'di', 'pasangin', 'lg', 'ya', 'kdng', 'keluar', 'darah', 'yg', 'masang', 'kan', 'manusia', 'yg', 'pastix', 'punyk', 'kelemahan', 'dan', 'kekurangan', 'ingt', 'yg', 'smpurna', 'itu', 'tuhan', 'kasian', 'jangan', 'smpy', 'di', 'jmbk', 'seperti', 'tu']"
194,Ifan Suganda,"Kasar amatt, gx bgtu juga x. Sayang anak sih sayang tapi cara2 seperti itu tidak d benarkan dan tidak patut di contoh.",kasar amatt gx bgtu sayang anak sih sayang d benar patut contoh,1,"['kasar', 'amatt', 'gx', 'bgtu', 'juga', 'x', 'sayang', 'anak', 'sih', 'sayang', 'tapi', 'cara', 'seperti', 'itu', 'tidak', 'd', 'benarkan', 'dan', 'tidak', 'patut', 'di', 'contoh']"
195,Didik Mhahardikha,Wah bawa2 nama polisi dia.....jd klu mentang2 polisi seenak jidat dia berbuat begitu. ..??? Bukannya malu malah sok banget bawa2 nama instansi....orang kaya gini ga patut jd pengayon masyarakat.....,bawa nama polisi jd klu mentang polisi enak jidat buat malu sok banget bawa nama instansi orang kaya gin ga patut jd pengayon masyarakat,0,"['wah', 'bawa', 'nama', 'polisi', 'dia', 'jd', 'klu', 'mentang', 'polisi', 'seenak', 'jidat', 'dia', 'berbuat', 'begitu', 'bukannya', 'malu', 'malah', 'sok', 'banget', 'bawa', 'nama', 'instansi', 'orang', 'kaya', 'gini', 'ga', 'patut', 'jd', 'pengayon', 'masyarakat']"
196,Yeni Rahayu,Palng nanti ujung2 nya minta maaf ke petugas yg di aniyaya... Nangis2 mohon2... Lagu lama itu.,palng ujung maaf tugas aniyaya nang mohon lagu,1,"['palng', 'nanti', 'ujung', 'nya', 'minta', 'maaf', 'ke', 'petugas', 'yg', 'di', 'aniyaya', 'nangis', 'mohon', 'lagu', 'lama', 'itu']"
197,Neti Herawati,Itu nm y org yg gak tau trima ksih sm aj nolongin anjing kejepit bpk sy aj prnh kya gitu pas jrum infus y d cbut bnyk k luar drah y gak ap ap bpk itu terlalu lbai,nm y org tau trima ksih sm aj nolongin anjing jepit bpk sy aj prnh kya gitu pas jrum infus y d cbut bnyk k drah y ap ap bpk lbai,-1,"['itu', 'nm', 'y', 'org', 'yg', 'gak', 'tau', 'trima', 'ksih', 'sm', 'aj', 'nolongin', 'anjing', 'kejepit', 'bpk', 'sy', 'aj', 'prnh', 'kya', 'gitu', 'pas', 'jrum', 'infus', 'y', 'd', 'cbut', 'bnyk', 'k', 'luar', 'drah', 'y', 'gak', 'ap', 'ap', 'bpk', 'itu', 'terlalu', 'lbai']"
198,Marojahan Sitompul,gak perlu kali lsg ambil tindakan anarkis begitu. kan bs lsg lapor sm pos perawat agar di utus perawat yg benar2 pintar cari urat darah agar keluarga kita jgn tersiksa begitu. gmana kalo keluarga mereka sendiri yg dpt perlakuan spy itu...???,kali lsg ambil tindak anarkis bs lsg lapor sm pos awat utus awat pintar cari urat darah keluarga jgn siksa gmana kalo keluarga dpt laku spy,0,"['gak', 'perlu', 'kali', 'lsg', 'ambil', 'tindakan', 'anarkis', 'begitu', 'kan', 'bs', 'lsg', 'lapor', 'sm', 'pos', 'perawat', 'agar', 'di', 'utus', 'perawat', 'yg', 'benar', 'pintar', 'cari', 'urat', 'darah', 'agar', 'keluarga', 'kita', 'jgn', 'tersiksa', 'begitu', 'gmana', 'kalo', 'keluarga', 'mereka', 'sendiri', 'yg', 'dpt', 'perlakuan', 'spy', 'itu']"
199,Aisyah Zei Lani,Kita nda tau jelas kronologinya berdarah atau pendarahan kita nda tau berapa kali ditusuk atau berkali kali GK dapat dapat sampai berdarah atau pendarahan Kitakan GK tau kalo masih baru jadi perawat atau tapi blm paham jgn coba2 deh entar malah salah2 …,nda tau kronologi darah darah nda tau kali tusuk kali kali gk darah darah kita gk tau kalo awat blm paham jgn coba entar salah,-1,"['kita', 'nda', 'tau', 'jelas', 'kronologinya', 'berdarah', 'atau', 'pendarahan', 'kita', 'nda', 'tau', 'berapa', 'kali', 'ditusuk', 'atau', 'berkali', 'kali', 'gk', 'dapat', 'dapat', 'sampai', 'berdarah', 'atau', 'pendarahan', 'kitakan', 'gk', 'tau', 'kalo', 'masih', 'baru', 'jadi', 'perawat', 'atau', 'tapi', 'blm', 'paham', 'jgn', 'coba', 'deh', 'entar', 'malah', 'salah']"
200,Teguh Santosa,Yg berbuat paling orang gedean dan pasti gak ada tindakan lihat saja............,buat orang gede tindak lihat,0,"['yg', 'berbuat', 'paling', 'orang', 'gedean', 'dan', 'pasti', 'gak', 'ada', 'tindakan', 'lihat', 'saja']"
201,Budhi Artana,"Ujung ""nya cuma minta maaf",ujung maaf,1,"['ujung', 'nya', 'cuma', 'minta', 'maaf']"
202,Kandvarof Asternelpee Ufavforus,"Klo pun ad ksalahan dr suster ttg hal tsb,it msih ksalahan kecil ttg tsuk/cabut infus...",klo ad ksalahan dr suster ttg tsb msih ksalahan ttg tsuk cabut infus,0,"['klo', 'pun', 'ad', 'ksalahan', 'dr', 'suster', 'ttg', 'hal', 'tsb', 'it', 'msih', 'ksalahan', 'kecil', 'ttg', 'tsuk', 'cabut', 'infus']"
203,Naft Stef,"Bentar lagi juga masuk tv, pelaku nangis2 minta maaf. Sudah biasa di Indonesia begitu",bentar masuk tv laku nang maaf indonesia,1,"['bentar', 'lagi', 'juga', 'masuk', 'tv', 'pelaku', 'nangis', 'minta', 'maaf', 'sudah', 'biasa', 'di', 'indonesia', 'begitu']"
204,Nanda Asahra Defi Defi,Buat para ruma sakit jangan mau terima yg keluarganya kalo pasienya di infus takut berdarah,ruma sakit terima keluarga kalo pasienya infus takut darah,-1,"['buat', 'para', 'ruma', 'sakit', 'jangan', 'mau', 'terima', 'yg', 'keluarganya', 'kalo', 'pasienya', 'di', 'infus', 'takut', 'berdarah']"
205,Jo Putri,"Kalo misalkan anak2 ya wajar susah cari pembuluh darahnya... Wajar kalo pasang atau copot infus berdarah, sakit jg pasti ada.",kalo anak ya wajar susah cari buluh darah wajar kalo pasang copot infus darah sakit,-1,"['kalo', 'misalkan', 'anak', 'ya', 'wajar', 'susah', 'cari', 'pembuluh', 'darahnya', 'wajar', 'kalo', 'pasang', 'atau', 'copot', 'infus', 'berdarah', 'sakit', 'jg', 'pasti', 'ada']"
206,Sab,Tenang di negri maju ada restorative justice..,tenang negri maju restorative justice,1,"['tenang', 'di', 'negri', 'maju', 'ada', 'restorative', 'justice']"
207,Titin Suratin,Eallah to pak jare polisi berpendidikan tinggi to kok klh sama yg lulusan tk orang udik pula' aku pernah di rawat mau masukin infus di coblos sampai 9x blm dpt2 biasa wae kok' sampsi biru kabeh klu bisa knp g mbok pasang dewe pakpak,eallah to jare polisi didik to klh lulus tk orang udik rawat masukin infus coblos blm dpt wae sampsi biru kabeh klu knp mbok pasang dewe pakpak,0,"['eallah', 'to', 'pak', 'jare', 'polisi', 'berpendidikan', 'tinggi', 'to', 'kok', 'klh', 'sama', 'yg', 'lulusan', 'tk', 'orang', 'udik', 'pula', 'aku', 'pernah', 'di', 'rawat', 'mau', 'masukin', 'infus', 'di', 'coblos', 'sampai', 'x', 'blm', 'dpt', 'biasa', 'wae', 'kok', 'sampsi', 'biru', 'kabeh', 'klu', 'bisa', 'knp', 'g', 'mbok', 'pasang', 'dewe', 'pakpak']"
