Username,Komen
Lis Syaudah,Di tuntut aja ..orang kya gitu
Edy Haryanto,"Sama pk wnak sy jg pernah ngalamin yg sama,kaki bengkak,infusnya nggak masuk,amatir perawatnya"
Anjas Kopa,Tepuk tangan buat baju merahh
Spectrum ID,"Istriq diambil darah,smp 8x baru dpt, dah istriq takut jarum suntik.. gk tau kesalahan dr perawat atau letak lokasi darah istriq yg susah dicari"
Raditya Parno,Meski dia polisi beneran msk harus sewenang gitu. Hukum aja pak seadil2nya. Biar ndak krg ajar lagi
Gunawan Wawan,Itu lah resikony klu ank2 memang susah tapi y mau gymn lg...harus tetep d infus tapi biasa ny ad yg ahli ny setiap RS ...
PanLara,Nanti liat vidio klarifkasinya apakah bpk masih segarang ini?
Aan Mulyawan,Anakku jam 11 siang ampek sore gak bs dipasang infus dan akhirnya operasi dikaki untuk pasang infus.... Aq aja tanda tanggan kok
Hermawan Agung Wibowo,"Itu orang kaya pinter tapi tidak punya etika, karena merasa sudah bayar dan emosinya yg digedein"
Rifarifa II,Sama adek saya dulu juga gitu suster gk bisa pasang infus sampek berdarah darah dan sakit sekarang tanganya mati rasa
Suhendar Suhe,Tidak mungkin semarah itu kl tidak ada penyebab lain
Atiqah,Itu kok petugas keamanannya diam aja waktu perawatnya lagi di tarik sama yg pake baju merah
Nuryanti Akbar,Aku juga di infus berdarah dan sakit trus pindah ketangan satu nya berdarah lagi trus sama susternya di tarik infusnya di pasang lagi. Wajar x yaa klu di infus berdarah. GK usah pke kekerasan gitu apalagi sama perempuan.
M Tohar Banega,Anaknya dehidrasi kali tu makanya susah di infus.
Elmira Susanto,Suruh pasang sediri klu tidak trima....
Wsu Utomo,Ibu2 Baju merah lagi marah. Ya sampai aniaya perawat. Klu laki2 gak mungkin kyk gtu Berani sama perempuan. Ya bisa d simpulkan sendiri kyk apa orang yg pakai koas merah ini.
Betti Herlika,Diingat wajah nya dan keluarganya jd saat dia sakit surih berobat sendiri jgn dilayani
Korak Putra Irgi,Anak saya yg 14 HR di infus jg keluar darah aq jg gak segitunya ...BLH cemas tp setidaknya di pertanyakn dulu gak perlu pakai ego dan emosi
Baba Noeldesaza,Mana sapamnya ?rumah sakit d bkin tempat ribut emang udh pada sehat.
Afif Wahyu Pratama,paling nangis tua nnti yg baju merah...ujung2nya klarifikasi minta maaf
Muhammad Riza,"Terkecuali anak nya keturunan setan,jin,hantu belau, kalau gak mau berdarah.alias gak punya darah."
Rininta Aphoy Maharani,"Apapun alasannya memakai kekerasan itu salah,  kalo kesal kn bisa ya cuma dibentak atau di marahi dan laporin ke manager rs nya"
Ririk Agus Hariyanto,"Anak kecil kan kan emang susah di infus,pembuluh darahnya kecil,dulu anakq aja tangan kanan kiri diinfus gak bisa²,akhirnya dinfus di kaki"
Ardany Zulfiqar,Wajarlah ortunya marah.... makanya kalau pas lagi pasang infus hrs bener2 fokus.
Bandi,Lu polisi. Gw penjual materai.
Patar Lumban Tobing,"Itu satpam RS ngapain ya, malahan nontonin aje."
Leo Waldiansyah,di coment ini sepertinya pada kagak baca ya ko comentnya masang infus..bukanya kejadian disini saat mencabut infusya?
Fachri Arief,"Makax dituntut perawat yg handal...aplg saat pasang infus..saya bolak,balik rs. Pasti ada perawat  muda yg kerja asal.maaf."
Julian Julian,"sabar bos jangan main pkul z,, klu udh masuk sel u baru nyesel,, ngomng.a khilaf.."
Nanaywolles,Huh..gua rassa perawat nya msh dlm thap belajar..dn biasa nya di bikin uni prktek ke si pasiien....
DestHa,Palingan ujung2 nya mntak maaf kayak yang sudah2
Eka Winahok,Dirmh j dirmh sakit nyusahin orang nanti apa 2 main pukul
Tongeret Janari Tongeret,"Ini masalahnya beda lagi ea, biasanya ribut corona gak henti henti, ini penganiayaan, ada aja ea masalah,"
Anton Gama Al Farizi,Bapa pke baju merah hmmm bngt ga malu ya
Zulpan Aries,Sy di impus 4x cucuk sampai patah2 jarum nya.....sy tenang aja....
Anggun Kayla,"Terkadang perawat yg masih magang di suruh suruh nanganin pasien,hadehhh.... Gak bisa nyalahin siapa yg salah dan yg benar,"
Kenzie Bradley,Sepertinya seorg aparat ya yg bju merah ? Sempat erucap saya polisi
Rsa,tdk mungkin dia emosi kl tdk ada sebabnya.tau sendri gmana pra perawat kita ini.apa lg hadapi pasien miskin waduh
A.M Nurjali,Itu orang udah kaya bang jago... Kita liat kisahnya. Di penjara..nangis nyesel
Yolanda Adnan,Ini sih terlalu
Nakashima Syahputra,Saya salah denger ato gmn ya pelaku bilang klo dia polisi
Lius Kurnelius,"Halah paleng jga kalo di laporin ke polisi ujung2 nya "" Saya minta maaf karna khilaf "" Pret lah permainan anak kecil basi loh"
Abdul Rahmat Rasid,Ngak taj gimana kejadiannya kalo anaknya jatu ampe berdarah bisa bisa jalanna dia bantai sampe ancur atau kebaliaknnya
Herzza Zââ,Saya pernah sampe 5 kali pindah infus aja biasa aja tuh ngga sampe kaya begitu
Abu Tamami,Mungkin perawatnya lelah...tapi ga perlu pake dijambak juga kaleeee....
Rifki,Pertanyaan itu ada security buat apa?
Fatih Ramadhana,Kalo ngga berdarah namanya pasang kabel antena pak
Mitra Chan,Itu security di situ ngapain aj? Percuma ada security kalo kejadian kayak itu dibiarkan.
Muhammad Ulin Nuha,Berdarah itu bisa juga krna anaknya terlalu banyak gerak juga bisa
Suci Aprilia Puteri,Security-nya kek patung manekin
Al Kasyafa,"Pengen liat endingnya, apakah kira2 cukup dengan materai?"
Kukuh Firman Pambudi,Gw yang mau di ambil darah nya pake suntik aja di ulang sampe 4x gara² ga pas di pembuluh darah nya ga selebay itu
De Vhirgie,Dmn2 orang skit kwi py2 judul ny yo sakit ..
Rydo Fiaala,Keluarin anaknya dari rumah sakit.
Sara Pawitra,"Ini akun bikin caption kurang vitamin,,"
Andrea Antonio,Yg punya pengalaman dgn perawat yg ga becus pasang infus baru tau video ini....
Nungky Anggraheni,Bapakku baru meninggal dmn kamu taruk barangku
Andy,Yg sering donor darah bakal ketawa liat nya ni
Bintangibuk,Ya nmanya diinfus pasti kluar darahnya lah pak.... Klo g mau dtusuk cm dpegang2 aj tu bawa kedukun pak...
Ismiyah Mia,Itu sekuriti bukan bantuin planga plongo doang
Karaeng Pirri,"suruh org tuax yg pasang infus.sampah semua,"
Apt Vins,pria bersafari security kah???? kok hanya nonton dan pegang pintu????
Eca Aldjokdja,Nich sekuriti tugasnya apa cuma liat liat aja ngak da tindakan ssama sekali
Den Wo Wara Wiri,Itu securitinya ngapain?kok cm liat aja hadeeh.......
Nungky Anggraheni,Aku msh pny nyawa km pun juga msh pny nyawa dmn kamu bawa barang aku semua
Nungky Anggraheni,Maaf aku gak mau panjang lebar tujuh point saja bawa semua barang aku
Alex Chelsea,Emang klo polisi bisa arogan gitu pak...saya aja dari kluarga besar KOSTRAD biasa aja...harus nya marah boleh tapi jangan main tangan pa lagi ma cewek...laporin ke PROPAM POLDA setempat...jangan mau di 86...atau matrai 6 ribu..PROSES
Aqilah Yunet Setiawan,"kita tunggu berita selanjutnya,dia minta maaf,dimaafkan saja,tapi hukum tetap berlaku,kan tindak penganiayaan"
Fan Panjaitan,Tenangg Materai 6ribu bisa buat nyelesain tuh mslh
Lenon Saputra,klu kularga ku di bikin kaya gitu yng baju merah pasti kan kubalas.
Hendrick Wildan N S,Mudah mudahan pihak rumah sakit melindungi karywan nya dan segera menuntut si bapak tidak punya adab itu
Awong Candra,Itu yg baju item astaga misahin kek tai
Rio,"Btw, itu yang kaos merah bukan anggota, tapi yang baju abu² itu anggota"
Nungky Anggraheni,Aku gk pny mslh sm km dmn brg aku semua tinggal jwb sj
Saputra Kusuma,"Apa gunanya  satpam itu ga melerai diem doang, anjim keringet dingin satpamnye"
Maulana,Untung gw dulu gk marah marah
Nungky Anggraheni,Aku sudah gak punya ortu lengkap knp km masih tancap gak mau berhenti
Putri Lia,Itu yg baju merah yg bilang polisi sy kira yg mukul
Teuku Ardi,"Ada satpam lemah ,goblok , , saya salut sama baoak yang pakek.baju kaos putih , , terima kasih pak , ,"
Satya Ariwahyuni,itu yg baju safari item security bukan sih? security nya ga ada guna amat
Dody Kustanto,Jarum infusnya tusuk dari lehernya apa matanya ajh sekalian dari pada laki ngeselin.
Yusjohanbay,Komunikasi yg kurang baik antara perawat & kluarga pasien .
Dwi Mbendil,"Iki itu pak kapolri ada buah sok sok jagoan tlg di tindakan lanjut i,jangan mentang punya pangkat jabatan semena semena."
Sahman,"Satpamnya nonton , mau narik ngak kena.. malah yg perempuan yg ngejjaga"
Eny Sulistyowati,"SAYA GAK NGERTI URUSAN MEDIS cuma ada pengalaman,saat cucu saya mau diinfus suster SANGAT SULIT mencari nadi cucu saya katanya TERLALU LEMBUT ,3 suster mengatasi hal itu sampai akhirnya diintus dikaki karena disitu katanya LEBIH BESAR.Posisi saat itu c…"
Aldo Tampu Efata Trio,"Nieh sicurytinya nga jelas,malah liatin bukanya nolong.lu sicurity apa""sieh??"
Anunya Kewer Kewer,Ya Allah ya Robb.. Nga boleh gitu pak... Itu perawat petugas yg melayani keluarga kita hormati profesi mereka..klo bpk tdk bisa menghormati dia sebagai perempuan... Hormati umur bapak sendiri.... Klo nga bisa juga bpk istigfar liat kaca klo bpk atau ke…
Royyadih,"Ngaku polisi ,,,,,heeeeh heee"
Willy Samudra,"Almarhum bapak gue cuci darah kadang bisa 3 sampai 5x ditusuk pake jarum tapi gue ga ngomel kyk si monyet baju merah ini.. karna gue paham, cari pembuluh darah emang susah, bukan pekerjaan gampang. Jadi wajar aja suster nya kadang suka salah berkali2 karna manusia biasa"
Yudith Yunanto Tjokrodilogo,"Bsk"" kalau sakit ga ada rumah sakit n perawat yang mau nerima,,"
Abu Nawas,Itu yg pake baju safari siapa? Dan tugasnya apa ya?
Kristiana Mony Sinaga,"Kalau pelakunya orang kaya, banyak duit dan disegani,, akhir cerita sudah pasti maaf saja, berdamai.. nah si korban yg banyak keperluan terpaksa mengikhlaskan itu hanya resiko pekerjaan, masalah trauma hanya dia yg menahan"
Nungky Anggraheni,Aku tuh gk pernah cari musuh knp km musuhhi aku
Hadiantods Hadiantods,"Saya pernah alami, ketika anak saya harus di infus, untuk infus sampai 6 jarum yang di gunakan, karena sudah mencari urat aliran darah nya, banyak darah yang keluar, dan kita sebagai keluarga pasien memaklumi dan berterimakasih kepada nakes, yang denga…"
Guswandi Chaniago,Saya kok gagal fokus sama security nya? Kok gak ada response?
Sigit Hariadi,Kami tunggu Vidio selanjutnya...Vidio ini kan ada bapak2 yg begitu sangat emosi dan sangat oragan. Untuk selanjutnya kita tunggu ceritanya..
Siti Halimah Qb,Semoga anak si bapak itu cepat sembuh dan kelak besar nanti menjadi seseorang yang bekerja di bagian pelayan publik
Apri Candy,Jadi polisi arogan dan bego ko pamer dan bangga
Alby Arrohman,Suruh keluar dan backlist keluarganya untuk masuk RS manapun.
Rimba,Kasian pada mereka pahlawan bagi saya karena mereka berjuang untuk orang banya yg pertama menyelamatkan nyawa orang lain walaupun takdir nya Allah SWT.
Ainun Na'im,Divisi Humas Polri silahkan di bersihkan oknum yg kayak gini.
Hikmat Darmawan,Apapun masalah nya penganiayaan terhadap orang lain melanggar hukum apalagi terhadap wanita pelayan masarakat...bila itu menimpa terhadap anggota keluarga saya ...artinya....perang...!!!!
Diah Hari,Harus tetap di proses Hukum . Keenakan . biarpun mereka pejabat atau orang kaya .Ojo sapenakmu dw .arogan .Tolong Pak Hotman Paris ...Bantu  seadil adil nya .
Saut Sihaloho Brighton,Tidak ada pembenaran apabila seseorang main hakim sendiri terlebih melakukan kekerasan fisik .
Sri Asniwati,Bisa Diselesaikan dengan baik baik.
Juni Hariandi,"Beliau hanya manusia biasa sm seperti kt, jika bener itu terjadi apa kah kita bs menyalah kan sepenuh nya ke perawat, ingat harta, rejeki, jodoh dan takdir hidup mu d dunia blm akhirat"
Naga Mahendra S. W,Bsk ke rs mana pun di indonesia jgn diterima. Biar dirawat sama keluarganya sendiri
Ard,Karna ini masih dalam suasana bulan ramadhan saya saya sekeluarga mengucapkab selamat menunaikan ibadah puasa
Yuli Crhistianty,Yaallah smpe segitu nya pengalaman anakku gendut diinfus ditangan ga ketemu uratnya sampe cabut pasang berkali2.. Akhirnya pindah ke kaki.. Diinfus nya.. Aku pasrahkan sama Allah.. Yg penting anakku ditangani dulu alhamdulillah skrg dah sehat kembali..
Bali Dewata,"Namanya diinfus ya keluar darah lah,dasar bloon, mungkin biasa berobat didukun x   ......jd pas berobat keRS diinfus keluar darah kaget ....klo w digituin langgsung w seret kepengadilan pasal penganiayaan"
ECi UsEumman,Astagfirullah haladzim...
Kang Mawang,Besok buka RS sendiri pak...jadi dokter sendiri......dirawat rawat sendiri...
Hermawan,"Next video ""saya  memohon maaf atas kekhilafan saya karena bla bla bla ,,dan saya berjanji tidak akan mengulanginya lagi"" selesai"
Midaz,sering sih gt...alm bos ane..
Rismauli Hutahaean,Sudah ada unsur kekerasan & penganiayaan...siap2 ya pak
Fahmi Cazorlla,"Walaupun gw gk pduli dngn postingan ini, tpi trimakasih sudah membaca komentar saya dalam hati walaupun hidup klian tidak berguna  ttp mngeluh dan jgn semangat"
Rohs,Dasar arogan  bapaknya rawat sendiri aja dirumah
Allamsyah,"Penjarakan saja orang itu se umur hidup, klw perlu hukum gantung."
Hardianto Ibnu Zakaria,Ah males ngeliat berita kayak begini paling endingnya nanti klarifikasi dengan kata kata yg sudah sangat KLISE yaitu MA'AF KARNA EMOSI dan ujung cerita Kedua belah pihak sepakat untuk DAMAI dan BLA BLA BLA..
Ki Ageng Pandanaran,SIKATTT JNGN DI KASIH AMPUN....!!! TUMAN....!!! tindakan semena2 & sok2 kan..! Kl emg aparat ya harus mengayomi bkn mlh arogan...! Ini negara hukum cokk...! Bkn negara bar2..!
Yosua Andhika Siahaan,Asik...ditunggu video saat buat BAP nya. Jng ada materai dan surat minta maaf
Anfar,"Apapun masalahx,, tdk dibenarkan memukul perawat,, keluarga mestinya bersabar,,, kejadian seperti ini banyak terjadi,  kalau memang gak mau dirawat di rs,, harusx rawat sendiri saja"
Taryono Chimote,"Yang pernah saya alami juga begitu waktu anak saya kurang satu tahun di infus ga dapet gagal, malah mau di infus di kepala saya cuma menangis memohon sama Alloh SWT....akhirnya Alhamdulillah."
Chandra Syahputra,salah bapaknya .kenapa bawa anak nya kerumah sakit.harusnya kedukun klo gak mau kena jarum.klo kedukun paling dikasih minum air putih.gak akan keluar darah pastinya
Papahe Firdan Lano,Baju merah anjim bgt
Hendrico Jansen Manik,Ngga Gt jg kali caranya.... Itu perempuan lhoo .. Cemen amat.. kalo ada kesalahan bisa dilapor ke kepala perawatnya.. saya  aja waktu dipasang infus salah Vena aja paling teriak sakit... Susternya minta maaf.. ngga papa sus...
Susi Jonathan,Tangan bpknya enteng bangett ya main tampar n jambak seorang wanita..bpk lahir dari mana pak
Uteh,"Anak gua kepala nya sampai di botaki cari pembulu darah kaki tangan semua   di suntik suntik sampai  lebih 20 kali   karena ke gemukan sampai nangis g ada suara nya ,sy diam sj cm nangis sejadi jadi nya lihat anak  di gitu  bkn g syg anak tp sy pengen …"
Mas Supriyono,Itu pak saptam diam saja keluar jurus maut .....
Frenthoels El Hazhi,Saran sy supaya anak ga keluar darah infusnya suruh di minumin aja kl ga mau ya tinggal di cekokin aja.
Arie Cuplis,Boleh gak Di palu  trus dicongkel matanya yg pake topi itu.. kalo merasa lebih mampu jng dibawa ke rumah sakit Krn tiap manusia itu uratnya beda2 ada yg mudah ditemukan dan ada yg butuh sabarr..
Apanx Candu Nikotin,"Pengalaman juga sih pernah anak rawat inap diklinik trus masang infusnya sampai 3x belum bisa katanya pembuluhnya nggak kelihatan dan susternya nggak berani coba lagi,,,akhirnya nunggu dokter datang aja,,,paginya setelah di tanganin dokternya satu kali…"
Bagas Praditiya,"Ujungnya juga pake kata2 sakti,""minta maaf"",hadeuhhh warga 62"
Gueido Skill Remington,"Tetap aja perbuatan main hakim sendiri apalagi sampai memakai kekerasan,tidak bs ditoleril.Laporkan proses.!!!"
Septiani Dwi Kartika,"Pasang infus ya pasti keluar darah lah, masa keluar Madu"
Tika Puspitasari,"Siloam RS mahal, merasa sudah bayar mahal mungkin, sementara masih banyak kesalahan, mungkin gara gara itu si Bapak bahagia.."
يوسمان هدايت,Lebay keluarganya..kek yg g pernah salah aja..hukum menanti boss
Okyy Pradana RA,Bos nih ya ane berbagi pengalaman... Anak saya dulu umur 2 tahun mau di infus di pegangin 4 perawat 1 dokter saya sama istri saya... Udah di pegangin susah nya minta ampun karna mengamuk... Intinya masang infus ga segampang anda memasukan nasi kemulut
Riko Saputra,Perawat tidak boleh diperlakukan seperti itu..masalah infus berdarah dll....harusnya disampaikan dengan baik...akhirnya berujung penganiayaan yang terjadi..miris
Iwan Santosa,Kalau punya pasien dan keluarganya main hakim sendiri di usir saja tetapi sebelum pergi di suntik virus covid-19 dulu biar mati.
Wilman Rante,"Sy waktu SD mau cek kesehatan lengkap di tusuk jarum sampai 5 kali sama perawatnya.. Mngkin gugup atau apa perawatnya salah tusuk, sy sampai nangis dan lengan saya bengkak, tapi bapak saya biasa saja.."
Hafid Adirizal,"Apapun masalahnya jangan melulu main fisik, masih banyak cara menyelesaikan masalah jangan selalu emosi yang diutamakan."
Thomas Bambang,Kalau dipasang infus kita harus nyantai biar kondisi tubuh lemas krn kalau sepaneng/tegang ya gitu deh! Giliran ada bag yg ketusuk ya keluar darah
Ari Purwanti,Itu di rumah sakit mana yaa
Eduard Pandia,Buat salah suster itu tp apa ada hak org tua menganiaya SUSTER...
Putriyuli Yuli,Mungkin depresi gangguan mental paling tempramental
Reza Ulinnuha,"Apapun alasannya, yg dilakukan si bapak pelaku merupakan penghinaan terhadap profesi kami....harus ada pertanggungjawaban"
Andi M Iqbal,"Semoga cepet di penjara,dengan muka melas nya"
Ronyboy,Satpamnya malah plototin doang bukannya tolongin
Febri Gunadi,"Klo mau ga kluar darah, infusnya jgan di tusukin ke pembuluh darah pak, tpi di minumin aja ke anaknya"
Joni Jev,Sangat cukup menunjukkan klo anda orangnya temperamen.
Damar Part II,hasil akhirnya seperti biasa
Suprantoko,Marah boleh tapi tidak harus seperti itu saya perawat sdh berusaha sebaik mungkin tapi hasil dan kenyataan bisa berbeda-beda laporkan saja kasus penganiayaan nya
Bah Kyt,"Jangan melihat atau menilai salah apa enggak nya yg perlakuan kasar seperti itu yg harus di tindak tempuh jalur hukum,karena itu tindakan kekerasan,tangkap dan penjarakan."
Mhd Yusuf Pratama,Tinggal nunggu si bapak ditahan dikepolisian atas kasus kekerasan disertai penganiayaan... Selamat anda akan mendekam kurang lebih 4 tahun
Ahmed,Okee...ditunggu video mewek mintaa maafnya ...
Osep Muhammad,ya kalau salah complain sesuai aturan. marah ok. tapi ga pake kekerasan. nanti juga nyesel sendiri setelah masuk bui. baru sadar kalau dia itu kampungan.
Purwanto,Pelaku di laporkan saja ke penegak Hukum selain kasus penganiyaan itu juga penghinaan terhadap Profesi ...sy GERAM lihat nya sama pelaku
Joe Felix SidiQia Putin,Ane dulu Sampe 3 x Ndak bisa...soal nya yg masang infus perawat magang...akhir nya manggil perawat yg senior..langsung bisa...ternyata ane jadi barang percobaan...kan asww..
Herry Sutrisno,Manusia ndak tau diri. Laporkan ke polisi....plng ujung2x minta maaf. Biar masuk bui....ini penganiayaan berjamaah. Biar mampus orng2 sok spt ini.
Dody Chandra,Arogan ...main pukul sama perempuan ..harus di proses ini orng..
Dimaz Bayu Nugroho,Di bulan puasa ini saya memohon agar smua bersabar...
Vrman Al Marsyah,"oh...lo puisi,,,bentar lg ganti oknum"
Kiki Mandasari,"Tidak ada kata alasan benar dalam memukul wanita, itu penganiayaan!!!! Marah boleh, tapi sewajarnya karna manusia. Jgn smpai tangan menjd buas karna emosi."
Ijus Tata,hebat ...tetap hrs di tindak lanjuti...jgn main hakim sendiri
Ros Angel,Ini lah indonesiaku..knapa? Haruskan dengan kekersan.ada sja manusia jenis seperti ini..apalgi jaman sekrang ini.hati dan pikiran sikap dan sifat tidak bisa di kawal
Ayyda,Tu  orang  gilaaa  kali..arogan..bukan  manusiaaa..amit2..tindak  lanjuti
Endang Puspita,Surah infus sendiri.
Yadi Mulyadi Ojos,Paling hg ujung2 tar minta maaf..khilaf biasanya....mudah2n aja jadi pelajaran buat kita semua..emosi tidak akan membereskan masalah.tapi bertambah masalah.maaf sekali lagi
Tata Setiawan,"Pembuluh darah anak kecil itu agak susah,beda jauh dengan pembuluh darah orang dewasa,sangat kelihatan sekali pelaku sok berkuasa!!!!"
Abdul Manan,Klo pelaku minta maaf ya dimaafin tp hukum harus tetap jalan....
Banyu Langit,Saya berharap si perawat punya pendamping orang berpangkat! Biar di bejek bejek tu laki laki yang sudah arogan sama seorang perempuan
Mukarto Riun,Itu bp satpam nya ku melenngo aja.jaga pintu ya
Arki,lebih baik aq diam. krn gak tau kejadian persisnya.
Roni Mambo,Bawa kedukun aja pak... Biar gk d infus
Hendra Fardiansyah,Bawa bawa nama kepolisian. APA gk malu tuh kapolrinya institusi nya di buat jelek namanya?
Elli Suryani,Harus diproses hukum itu jgn main arogan bagaimana pun itu perempuan tak sepantasnya main kasar bapak itu
Rudy Priawan,Saya memahami apa yg bapak rasakan semuanya saya serahkan ke pihak berwenang
M Denny Purba,Pak'Pol..yg masih punya hati nurani.
Poetoe Aza,Paling nnti klarifikasi minta maaf deh tu orang
Mohammad Riski,"Halaaah palingan ujung"" buat vidio klarifikasi kelar dah masalah.kirain hukum cuma bisa di beli pake uang aja.taunya pake vidio klarifikasi juga bisa."
An Ppa Azka,Proses hukum harus jalan Jangan hanya minta maaf
Yandy,Keamananx kok gt....malah kyk ga berbuat apa2
Yosep M,"Jangan ada damai, lanjutkan meja hijau."
Ahmed Busairi Buser,"Kalau saya org tua atau saudara perawat itu, akan saya tuntut sampe ke ubun ubun... Mereka profesional, mereka berpendidikan, mereka bukan babu kalian..."
Benk Harsono Harsono,Mmang klw polisi kau mau apa...sama2 mkn nasi pun kta..saad
Dedi Arianto,"Kalau diliat dari kamarnya jelas ini dirawat di kamar VIP atau minimal kelas 1, kalau orang dah punya uang jabatan atau kuasa apalagi dia bayar pasti berani ""negur"" kaya gitu.. coba aja dia di rawat di kelas 3 pakai bbjs atau kartu miskin pula.. Mana berani kaya gitu.."
Konang Prijanto,"Ketika emosi, dia merasa hebat dan jagoan sehingga bisa menganiaya orang lain..Tapi setelah di Kantor Polisi? Diam, malu seperti orang pesakitan.."
Muhammad Abdul Aziz,Gua polisi??
Fritz Harda,Wih hebat polisi sekarang beraninya ama perempuan
Khyrul Rizal,Nunggu permintaan maaf nya
Keylaanatasya,Jangan kasih kendor pak polisi proses hukum biar kapok
Susi Febrianti,Arogan banget . Itu berdarah apa pendarahan sih? .. Sampe kek gtu nya . Bukanya wajar ya kalau anak kecil ? Tetangga saya juga anak nya pernah kek gtu di pasang infus nya sama yg senior tapi ttep gak bisa akhirnya gak di infus .
Putra Samudra,Suruh masang sendiri klo udah ga bsa percaya sm tnaga medis
Irma Jamillah,Bawa pulang aja pak anak nya. Rawaaaat sendiri
Alysa Agus,Mungki bapak itu uda kesel sama perawatnya.ini juga buat efek jerah perawat
Muhd Ariyadi,Memang susah kita jaman skrg berurusan sama RS.
Dewi Anggraeni,Harus di hukum penganiayaan jangan ujung2  minta maaf
Rizki,Terkadang juga perawat songong mkanya keujadian kaya gitu
Arda Welly,Salut sama bapak yg baju kaos putih..
E S SA,Apa hubungan polisi sama infus
UL,Blacklist saja mereka sekeluarga dari seluruh r.s di Indonesia.
Tjhandra Lee II,Suruh msg sendiri jgn mau kalo d suruh masangin
Yendrizal,Manusia sok jago coba kita posaudara di gitukan ya tunggu aja hukum berlaku kalau tidak ya hukum rimba juga boleh
Arsal Rausanfikri,Kadang perawat juga semaunya
Ahmad Soemidja,Polisi arogan. Copot.. pelindung masyarakat macam apa.. pangkat berdiri dipundak rakyat kok sok2an
Agar Wicaksana,"Suruh pasang sendiri aja , rs manapun ga usah terima nanti di salahin lho"
Aris Ramadhan,Ditunggu klarifikasinya nih seru kayanya . Arrogan sekali sama cewe pak pak
Agus Randa,Tangkap dan penjarakan klu main hakim sendiri.
Ardy Ant,malas membaca jadi plokis..masang infus anak2 gak semudah pasang ke orang dewasa ferguso..ada2 aja kelakuaan nya
Supri,"Terkadang perawatnya belum pengalaman, yg apes pasien jadi praktekan."
Eko Rudy Setiyawan,Matrai masih banyak
Ferdi Kantur,Sabar bos jangan main pukul sajo
Nanda Asahra Defi Defi,.saya.dulu anaku di infus berdarah aku cuma bilang ke sister lain suruh bantu parang infus ga marah2
Ruth Toruan,Yg kaos merah pakein rok sm bh aja.
Rahendro Wahyu Hadi,"Apapun peketjaannya klo Gk pake hati,rasa Dan ikhlas yg Gk ada yg bener......."
Ning Deso Pitu,"Bapak melawan kok tulang lunak,, mentang"" polisi,,,oalaaa,,, badan kekar sekali banting mbak suster keok,,, sabar to pak"
Yunita Piliang,Maklumi aja..
Om Fungky,Ngga sabar nunggu kata2 permohonan maaf
Robinson Pasaribu,Masang infus berdarah itu biasa
Mas Iman Nur Qolbi,"Paling ujung2nya minta maaf, halah taek."
Indriani Oktavia,"""Saya polisi"" angkuh sekali bapaknya, bpak dibayar sama rakyat lohh."
Henri Siregar,"Pas doi bang tampu,"
Guntur Saputra,Siap2 dikandangin lu pak...pekok maksimal
Rahmat Al-Ghazali Pasaribu,Mngkin dokternya kurang praktek waktu sekolah..
Irwan Abbe,"up biar, materai dan maaf lahir batin"
Tri Edge,Biasanya yg masang Infus yg lagi pada belajar/magang..
Tengku Andrian,RS orang kaya..paling ujung2nya minta maaf...
San Veganza,Sudah pernah
Lea Transport,Itu satpamnya bengong aja... D bantu melerai... Ojok iso tebar pesona aja.  Giliran ada masalah malah bengung. Apapun persoalannya harus bisa melerai. Apalagi ada perawat kena GT... Terlepas siapa yg salah. Serba salah juga klo gini. Ntar klo d salahk…
John Gozal,Petarung MMA Heavy Weight Vs Suster Fly Weight
Ahmad Yasin,kalau sayo perawat kami di gitukan dak berdarah belum puas..
Ilham Syah,Bawa² nama POLISI lgi...sampean polisi harus bisa kasi contoh yg baik...itu lawan sampean wanita
Haydar Blade Sport,Suruh dirawat diluar aja
AL'vino G Sebastian,Tdk bisa berkomentar hanya menunggu saja kata maaf bapak ini
Ahmadt Pbg,Terlalu berlebihan..  saya juga punya anak....
Tanjung Naburju,"Jgn mau mba klo cuma minta maaf,, harus dipertanggung jawabkan di jeruji besi... Biar tdk ada lagi Nakes lain yg jadi korban bapak itu."
Zahra,Coba bapak yg menganiaya perawat itu suruh ganti posisi gimn kerja kaya kami baru tahu dia
Bil Tampubolon,Mari kita Cerdik Menilai Sesudah Ada kompirmasi dri ke2belapihak Tapi yg main Tangan Ada Sangsi Hukumnya Apapun Alasannya.
Nyolder Nyofwer,"audah dilaporkan kepolisi,kawal terus jangan mau damai !"
Abd Rohman,"Gue polisi, paling minta maaf beres"
Abby Razta Rockmantiez,woii doski ngaku polisi bilang nya..!! .
Ikha Supriyati,Idiih...gak punya hati...biar Allah yg balas
Jamial Haji,Itu sekuriti di gaji ko ga bisa ngamanin cuma bisa liat kasi aja tu suntik mati gede badan cuma diem aja
Putra Jaten,Gantung aja kalao aparat seperti itu tidak ada gunanya
Lavayanto,"Biaya belajar memang mahal,termasuk belajar menahan emosi.Dipenjara deh."
Ujang Riyanto,cari dan viralkan identitas pelaku. dia harus diproses tapi sebelum itu kita hukum rame rame.
Wahyu Juniarto,Bisa kan pakai kepala dingin?
Darmansyah Tea,"Di buka infus berdarah itu wajarr, orang dewasa aja suka ada yg berdarah apalagi anak kecil yg lg aktif2 nya"
De Li Sa,Arogan banget bapak itu. Kesel aq lihatnya
