Username,Komen
Siti Aisyah,"Saya berulang kali nambah dara HB, berulang kali di infus di copot di pasangin LG, ya kdng keluar darah, yg masang kan manusia yg pastix punyk kelemahan dan kekurangan, ingt yg smpurna itu Tuhan, kasian jangan smpy di jmbk seperti tu"
Ifan Suganda,"Kasar amatt, gx bgtu juga x. Sayang anak sih sayang tapi cara2 seperti itu tidak d benarkan dan tidak patut di contoh."
Didik Mhahardikha,Wah bawa2 nama polisi dia.....jd klu mentang2 polisi seenak jidat dia berbuat begitu. ..??? Bukannya malu malah sok banget bawa2 nama instansi....orang kaya gini ga patut jd pengayon masyarakat.....
Yeni Rahayu,Palng nanti ujung2 nya minta maaf ke petugas yg di aniyaya... Nangis2 mohon2... Lagu lama itu.
Neti Herawati,Itu nm y org yg gak tau trima ksih sm aj nolongin anjing kejepit bpk sy aj prnh kya gitu pas jrum infus y d cbut bnyk k luar drah y gak ap ap bpk itu terlalu lbai
Marojahan Sitompul,gak perlu kali lsg ambil tindakan anarkis begitu. kan bs lsg lapor sm pos perawat agar di utus perawat yg benar2 pintar cari urat darah agar keluarga kita jgn tersiksa begitu. gmana kalo keluarga mereka sendiri yg dpt perlakuan spy itu...???
Aisyah Zei Lani,Kita nda tau jelas kronologinya berdarah atau pendarahan kita nda tau berapa kali ditusuk atau berkali kali GK dapat dapat sampai berdarah atau pendarahan Kitakan GK tau kalo masih baru jadi perawat atau tapi blm paham jgn coba2 deh entar malah salah2 …
Teguh Santosa,Yg berbuat paling orang gedean dan pasti gak ada tindakan lihat saja............
Budhi Artana,"Ujung ""nya cuma minta maaf"
Kandvarof Asternelpee Ufavforus,"Klo pun ad ksalahan dr suster ttg hal tsb,it msih ksalahan kecil ttg tsuk/cabut infus..."
Naft Stef,"Bentar lagi juga masuk tv, pelaku nangis2 minta maaf. Sudah biasa di Indonesia begitu"
Nanda Asahra Defi Defi,Buat para ruma sakit jangan mau terima yg keluarganya kalo pasienya di infus takut berdarah
Jo Putri,"Kalo misalkan anak2 ya wajar susah cari pembuluh darahnya... Wajar kalo pasang atau copot infus berdarah, sakit jg pasti ada."
Sab,Tenang di negri maju ada restorative justice..
Titin Suratin,Eallah to pak jare polisi berpendidikan tinggi to kok klh sama yg lulusan tk orang udik pula' aku pernah di rawat mau masukin infus di coblos sampai 9x blm dpt2 biasa wae kok' sampsi biru kabeh klu bisa knp g mbok pasang dewe pakpak
Evrie Ummu Attar Ameera,Terkadang bukan salah perawatnya tp krn anaknya yg banyak gerak dan meronta2..alhasil selalu salah masuk bahkan kdg2 jarum bisa patah
BorSil Johana,"Kalau pun si perawat berbuat salah, kan bisa melapor ke direktur RS nya, kenpa hrs menganiya perawat ? Lebih bijaksana kan, dan siapa tau sbagai permintaan maaf RS ,si bapak dapat discount biaya perawatan...Hadehhh...jadi pengen tau darahnya sebanyak apa sih"
Febby Febriyan,Saya pernah pas anak sya panas smpai kejang d infus
Bram ManTyo,Kalo bisa jalur hukum knp mesti DAMAI ....jgn ada kata DAMAI dan MAAF
Iz,Manusiawi sih marah lihat anak nya kek gt..tp gak perlu pake anarkis juga ..cukup tegur kalau ada yg kurang berkenan..hem semoga tidak ada matre di antara kata maaf
Riany Theresia Cola Koten,Yah namanya pasang infus pasti berdarah la.apalagi kalo vena nya kecil .kalo yg gak mau anaknya di rawat .pasang ajah lu sndri d rmh  sama paraji kek paranormal kek.manusia ga tau terima kasih.
Eva Minerva Sokifa,Aduh yg namanya pasang infus berdarah atau salah itu sudah biasa...krn pembuluh darah yg besar kan kadang muncul tp pas bgt di msukkan jarum infus...selang infus ga mw jalan...akhirnya hrus pasang lain lagi...gue aja ampek pernh 3 kali lepas pasang amp…
Istiq Enha,anaknya bawa kedukun aja pak siapa tau nanti disembur pake aer kembang langsung sehat
Mas Den,"Yg komen mlh curhat ,yg mukul jg salah harusnya negur perawat biar ganti yg senior,yg nyabut infus jg salah pasti dia lg magang  harusya minta dampingi senior.semua salah   udah tau salah semua msh di comen jg  awas pak ntar di vonis corona ribet urusan nya."
Lili Noventina Saragih Simarmata,Kurang komunikasi yg efektif kayaknya mknya bapak tu g tau proses tindakan yg dlakukan ke anaknya....
Selviwulandari,"Suruh obatin sndiri, infus sndiri tu anak nya,, arogan banget,"
Didik Putra,Yg nama nya pasang infus atau lepas infus  pd manusia yg masih hidup atau manusia lg sakit.. pasti berdarah... kalau tidak berdarah itu manusia sudah mati... jd orang awam tp jgn bodoh2 benar..
Ridho Wijaya,Imron Sjamsuri susternya melepas impus main tarik saja sampai bercucuran darah pasien nya yg masih anak anak sudah bagus satpam nya menangani dengan tidak anarkis
Ade Aditya D'Smile,Di infus mah pasti keluar darah...
Joko Purwanto,rawat sendiri aja anak nya ngk usah di bawa ke RS.. emosian bgt lo pak
Hidayatullah,Stress kayanya bapaknya yg sakit bukan anaknya coba kasih biuss biar gak buass liarr sekali membahayakan jika dibiarkan
Aden Raden,"Memeng harus dikasih pelajaran.karna kbiasaan,perawat songong lebih dr dokternya."
Aris Motor,Kalo mencari keadilan harus didengarkan keluhan dari kedua belah pihak
Joko Wahono,Sudut pandang mana kalian lihat broooo....
Rama Khayla,"Giliran bapak tu nanti nya yg sakit,,pada takut deh parawat nginfus nya..."
Ahmad Suba'i,Sebentar lagi klaras Gedang minta maaf
Rani Andriani,"Masang infus anak2 emang gak ribet,,mungkin si anak tangannya ga mau diam tangannya"
Emir Raharjo,Maaf ini yg ambil video siapa ya....bukanya dlm rumah sakit dilarang merekam video Dan memfoto...
Sinta Ulandari,Yahhh saya kemarin 5x dicolok jarum infus baru dapat Krn kurang minum sebelum diinfus harus makan dan minum lebih banyak agar mudah nyari tu pembuluhnya....
Jen Efendi,Berdarah nya bagaimana sich ?? Bukannya biasa aja di infus kalau berdarah..
Kemput Fatamorgana,Nunggu mewek sambil minta maaf
Dwi Riana,"Astaghfirullah,,,klo lepas infus/pasang mmng suka berdarah,,,jgn arogan gitulah dgn perawat sampai jambak sgala,,,y ampun,,,udh bsok2 klo sakit obatin sndiri aj jgn ke rumah sakit,,,sombong skali anda y,,"
Saeful Bahri,Kalau lagi nyerang perawat garang..tar kalau d  tangkap karena penganiayaan pasti lembek gak segarang lagi marahin susternya..ujung2 minta maaf...orang kaya gini mesti d kasib pelajaran
Wahyu Widiantara,Mungkin di kepolisian di ajarin ky gt X...
Ajeng Pita,Masang infus untuk cek advoket nya udh masuk apa belum ke vena nya pasti keluar darah
Agnes Windi Fadilla,Pengen liat yg d bilang smpek berdarah yg kek gimana...
Pedro Rrt,"Ank gwa ja yg umur 2 tahun, pas waktu di rawat"
Iis Jax,Security nya kok kayak gitu gax ada tindakan melindungi sekali malah tangan nya melambai2 gitu memegang tangan tersangka...
Ayhu Irianty,"Macam gk pernah di infus sja tuh bpakx,dmna"" lepas infus pasti berdarah walaupun sdikit"
Arno Oyee,Nunggu vidio berikut nya dngan wajah melaas daan minta maaf...... Sudh tradisi abs aniaya... wajah garaang dan berduwit cukup pake jurus melas urusan kelaas.. Tanpa meja hiijau.... Coba orng kurng mampu...???????
Evi Oktaviana,"Lebih detail nya bukan masang sih, tapi melepaskan jarum infus"
Fitri Ani,Pemirsa yg Budiman coba pahami lebih teliti lagi ya..kata kata dari pelaku  low polisi
Nety Widati,"Kalo kesel pun jgn lah main pukul jambak , keliatan bnget ini bpk sering KDRT, sama perempuan kasar gitu ."
Dortiana Simanjuntak,Kok yg pakai baju safari mendorong perawatnya bukannya menolong
Rivayi Arifanto Hutagalung,Wah parah sih Polisi aja masih dibentak... Makhluk jenis apa itu ya? Enak disundut rokok sekujur badannya nih org..
Anda Utama,manusia congkak plus G*b*** biasanya demen barbar
Devienna Wulandari,Gimana klo kyk anak ku yg jarum nya lepas tertancap
Priincess'Vallen,Sya ampe 5 x tusuk sna sni infus mna judes2 yg pasang tpi mau gmna lgi nmanya bpjs
Sadeli,Pihak rumah sakit doktr prawat emang ga bisa di adili  harus kita adili sn diri emang kadang ngeslin di rumah sakit tuh
Anna Rena,"Setauku klo anak2 memang agak susah anakku dulu sampe pindah2 tangan kanan dan kiri ga bisa akhirnya dapat dikaki, dan yg ditanganpun berdarah, emang anak bapak itu berdarah sampe harus nambah darah apa kok marah2 kayak gitu ato nih anak emas bapaknya …"
Mami Edfyn,Anaknya lasak ga mau diam kayak bp nya arogan
Limbong Margana,Perbuatan ini  kurang bagus harus dilaporkan ke polisi soalya biar ngaada lgi kejadian serupa
Wani,"Itu emosinya baru 20%'.mo liat video slnjutnya,udh di tangkap polisi,apa masih nampak garangnya.,..,"
Nino Sumartono Sanjaya,Aku pernah pas di infus cari pembuluh darah nya susah karena aku gemuk. Jadi ditusuk keberapa tempat di tangan dan akhir nya ketemunya di kaki.. manusiawi lah ini karna mencari pembuluh darah itu gak mudah.
Daun Serai,Orang Seperti Anda Harusnya Di Beri Apresiasi Berupa Hantaman Benda Tumpul Di Sekitar Kepala
Dewii Diion,Lelaki yg Ringan tangan. ..dgn org laen pun bahkan perempuan spt itu ..kog sy mlh kasihan dgn istrinya ya.....
Haris Supebi Anward,Yg sy sesalkan securitynya.. g berbuat apa2.. cuman nobar aja
AD,"Security RSnya knp kaya kurang greget yah, bukannya melindungi malah terkesan membiarkan"
ORien Fitriani,Akibat kecemasan bapak nya juga sih mendahulukan emosi ny ktimbang akal sehatnya. Hmmm
Rega Fajar,"Klo sakitmya DBD emang susah pak, itu pak security bukan yg pakai baju sergam hitam"
Putri Surani,ujung2 nya klarifikasi nangis2 minta maaf si bapaknya... lagu lama'
Ainun Na'im,"Security nya plonga plonga, mau dia Polisi mau dia preman kalau dia salah seharusnya ya di sikat. Goblok banget tuh baju merah."
Rozaq Ahmad,Saya pernah anak saya sampe pindah 2kali ga tega pgn marah tp ya ga gitu juga caranya
Mayang Aulia Mayang Aulia,Mustinya suruh aja yang jambak yang pasang infus jadi sebel liat kelakuannya
Dedy M,Itu bapak yg pkai topi spertinya udah nyiapin meterai 10rb dikantongnya...
Tondi Sipangkar,Ternyata cuma berdarah saat perawat lepas infus anaknya. Barusan cari tau kronologinya di portal2 berita lainnya.
Sunjaya,"Udah karungin aja,,org arogan kya gt g patut diksih kata maaf,,"
Kristiana Joana,Tp kadang emang ada perawat yg kyk GT...yg dsalahkan mlh pasiennya...yg dblng ga mau lemeslah ini itu...pasiene dimarahi...
Muchamad Rifani,Perawat itu manusia bs salah. Aplg mslah cucuk infus g smudah itu cari pmbluh darahnya.
RoRo Febbyana,Tugas sekurity ngapainn cuma nonton??
Azhari Achmad,Pas diciduk polisi baru nangis nangis minta maaf
Lis Syaudah,Di tuntut aja ..orang kya gitu
Edy Haryanto,"Sama pk wnak sy jg pernah ngalamin yg sama,kaki bengkak,infusnya nggak masuk,amatir perawatnya"
Anjas Kopa,Tepuk tangan buat baju merahh
Spectrum ID,"Istriq diambil darah,smp 8x baru dpt, dah istriq takut jarum suntik.. gk tau kesalahan dr perawat atau letak lokasi darah istriq yg susah dicari"
Raditya Parno,Meski dia polisi beneran msk harus sewenang gitu. Hukum aja pak seadil2nya. Biar ndak krg ajar lagi
Gunawan Wawan,Itu lah resikony klu ank2 memang susah tapi y mau gymn lg...harus tetep d infus tapi biasa ny ad yg ahli ny setiap RS ...
PanLara,Nanti liat vidio klarifkasinya apakah bpk masih segarang ini?
Aan Mulyawan,Anakku jam 11 siang ampek sore gak bs dipasang infus dan akhirnya operasi dikaki untuk pasang infus.... Aq aja tanda tanggan kok
Hermawan Agung Wibowo,"Itu orang kaya pinter tapi tidak punya etika, karena merasa sudah bayar dan emosinya yg digedein"
Rifarifa II,Sama adek saya dulu juga gitu suster gk bisa pasang infus sampek berdarah darah dan sakit sekarang tanganya mati rasa
Suhendar Suhe,Tidak mungkin semarah itu kl tidak ada penyebab lain
Atiqah,Itu kok petugas keamanannya diam aja waktu perawatnya lagi di tarik sama yg pake baju merah
Nuryanti Akbar,Aku juga di infus berdarah dan sakit trus pindah ketangan satu nya berdarah lagi trus sama susternya di tarik infusnya di pasang lagi. Wajar x yaa klu di infus berdarah. GK usah pke kekerasan gitu apalagi sama perempuan.
M Tohar Banega,Anaknya dehidrasi kali tu makanya susah di infus.
Elmira Susanto,Suruh pasang sediri klu tidak trima....
Wsu Utomo,Ibu2 Baju merah lagi marah. Ya sampai aniaya perawat. Klu laki2 gak mungkin kyk gtu Berani sama perempuan. Ya bisa d simpulkan sendiri kyk apa orang yg pakai koas merah ini.
Betti Herlika,Diingat wajah nya dan keluarganya jd saat dia sakit surih berobat sendiri jgn dilayani
Korak Putra Irgi,Anak saya yg 14 HR di infus jg keluar darah aq jg gak segitunya ...BLH cemas tp setidaknya di pertanyakn dulu gak perlu pakai ego dan emosi
Baba Noeldesaza,Mana sapamnya ?rumah sakit d bkin tempat ribut emang udh pada sehat.
Afif Wahyu Pratama,paling nangis tua nnti yg baju merah...ujung2nya klarifikasi minta maaf
Muhammad Riza,"Terkecuali anak nya keturunan setan,jin,hantu belau, kalau gak mau berdarah.alias gak punya darah."
Rininta Aphoy Maharani,"Apapun alasannya memakai kekerasan itu salah,  kalo kesal kn bisa ya cuma dibentak atau di marahi dan laporin ke manager rs nya"
Ririk Agus Hariyanto,"Anak kecil kan kan emang susah di infus,pembuluh darahnya kecil,dulu anakq aja tangan kanan kiri diinfus gak bisa²,akhirnya dinfus di kaki"
Ardany Zulfiqar,Wajarlah ortunya marah.... makanya kalau pas lagi pasang infus hrs bener2 fokus.
Bandi,Lu polisi. Gw penjual materai.
Patar Lumban Tobing,"Itu satpam RS ngapain ya, malahan nontonin aje."
Leo Waldiansyah,di coment ini sepertinya pada kagak baca ya ko comentnya masang infus..bukanya kejadian disini saat mencabut infusya?
Fachri Arief,"Makax dituntut perawat yg handal...aplg saat pasang infus..saya bolak,balik rs. Pasti ada perawat  muda yg kerja asal.maaf."
Julian Julian,"sabar bos jangan main pkul z,, klu udh masuk sel u baru nyesel,, ngomng.a khilaf.."
Nanaywolles,Huh..gua rassa perawat nya msh dlm thap belajar..dn biasa nya di bikin uni prktek ke si pasiien....
DestHa,Palingan ujung2 nya mntak maaf kayak yang sudah2
Eka Winahok,Dirmh j dirmh sakit nyusahin orang nanti apa 2 main pukul
Tongeret Janari Tongeret,"Ini masalahnya beda lagi ea, biasanya ribut corona gak henti henti, ini penganiayaan, ada aja ea masalah,"
Anton Gama Al Farizi,Bapa pke baju merah hmmm bngt ga malu ya
Zulpan Aries,Sy di impus 4x cucuk sampai patah2 jarum nya.....sy tenang aja....
Anggun Kayla,"Terkadang perawat yg masih magang di suruh suruh nanganin pasien,hadehhh.... Gak bisa nyalahin siapa yg salah dan yg benar,"
Kenzie Bradley,Sepertinya seorg aparat ya yg bju merah ? Sempat erucap saya polisi
Rsa,tdk mungkin dia emosi kl tdk ada sebabnya.tau sendri gmana pra perawat kita ini.apa lg hadapi pasien miskin waduh
A.M Nurjali,Itu orang udah kaya bang jago... Kita liat kisahnya. Di penjara..nangis nyesel
Yolanda Adnan,Ini sih terlalu
Nakashima Syahputra,Saya salah denger ato gmn ya pelaku bilang klo dia polisi
Lius Kurnelius,"Halah paleng jga kalo di laporin ke polisi ujung2 nya "" Saya minta maaf karna khilaf "" Pret lah permainan anak kecil basi loh"
Abdul Rahmat Rasid,Ngak taj gimana kejadiannya kalo anaknya jatu ampe berdarah bisa bisa jalanna dia bantai sampe ancur atau kebaliaknnya
Herzza Zââ,Saya pernah sampe 5 kali pindah infus aja biasa aja tuh ngga sampe kaya begitu
Abu Tamami,Mungkin perawatnya lelah...tapi ga perlu pake dijambak juga kaleeee....
Rifki,Pertanyaan itu ada security buat apa?
Fatih Ramadhana,Kalo ngga berdarah namanya pasang kabel antena pak
Mitra Chan,Itu security di situ ngapain aj? Percuma ada security kalo kejadian kayak itu dibiarkan.
Muhammad Ulin Nuha,Berdarah itu bisa juga krna anaknya terlalu banyak gerak juga bisa
Suci Aprilia Puteri,Security-nya kek patung manekin
Al Kasyafa,"Pengen liat endingnya, apakah kira2 cukup dengan materai?"
Kukuh Firman Pambudi,Gw yang mau di ambil darah nya pake suntik aja di ulang sampe 4x gara² ga pas di pembuluh darah nya ga selebay itu
De Vhirgie,Dmn2 orang skit kwi py2 judul ny yo sakit ..
Rydo Fiaala,Keluarin anaknya dari rumah sakit.
Sara Pawitra,"Ini akun bikin caption kurang vitamin,,"
Andrea Antonio,Yg punya pengalaman dgn perawat yg ga becus pasang infus baru tau video ini....
Nungky Anggraheni,Bapakku baru meninggal dmn kamu taruk barangku
Andy,Yg sering donor darah bakal ketawa liat nya ni
Bintangibuk,Ya nmanya diinfus pasti kluar darahnya lah pak.... Klo g mau dtusuk cm dpegang2 aj tu bawa kedukun pak...
Ismiyah Mia,Itu sekuriti bukan bantuin planga plongo doang
Karaeng Pirri,"suruh org tuax yg pasang infus.sampah semua,"
Apt Vins,pria bersafari security kah???? kok hanya nonton dan pegang pintu????
Eca Aldjokdja,Nich sekuriti tugasnya apa cuma liat liat aja ngak da tindakan ssama sekali
Den Wo Wara Wiri,Itu securitinya ngapain?kok cm liat aja hadeeh.......
Nungky Anggraheni,Aku msh pny nyawa km pun juga msh pny nyawa dmn kamu bawa barang aku semua
Nungky Anggraheni,Maaf aku gak mau panjang lebar tujuh point saja bawa semua barang aku
Alex Chelsea,Emang klo polisi bisa arogan gitu pak...saya aja dari kluarga besar KOSTRAD biasa aja...harus nya marah boleh tapi jangan main tangan pa lagi ma cewek...laporin ke PROPAM POLDA setempat...jangan mau di 86...atau matrai 6 ribu..PROSES
Aqilah Yunet Setiawan,"kita tunggu berita selanjutnya,dia minta maaf,dimaafkan saja,tapi hukum tetap berlaku,kan tindak penganiayaan"
Fan Panjaitan,Tenangg Materai 6ribu bisa buat nyelesain tuh mslh
Lenon Saputra,klu kularga ku di bikin kaya gitu yng baju merah pasti kan kubalas.
Hendrick Wildan N S,Mudah mudahan pihak rumah sakit melindungi karywan nya dan segera menuntut si bapak tidak punya adab itu
Awong Candra,Itu yg baju item astaga misahin kek tai
Rio,"Btw, itu yang kaos merah bukan anggota, tapi yang baju abu² itu anggota"
Nungky Anggraheni,Aku gk pny mslh sm km dmn brg aku semua tinggal jwb sj
Saputra Kusuma,"Apa gunanya  satpam itu ga melerai diem doang, anjim keringet dingin satpamnye"
Maulana,Untung gw dulu gk marah marah
Nungky Anggraheni,Aku sudah gak punya ortu lengkap knp km masih tancap gak mau berhenti
Putri Lia,Itu yg baju merah yg bilang polisi sy kira yg mukul
Teuku Ardi,"Ada satpam lemah ,goblok , , saya salut sama baoak yang pakek.baju kaos putih , , terima kasih pak , ,"
Satya Ariwahyuni,itu yg baju safari item security bukan sih? security nya ga ada guna amat
Dody Kustanto,Jarum infusnya tusuk dari lehernya apa matanya ajh sekalian dari pada laki ngeselin.
Yusjohanbay,Komunikasi yg kurang baik antara perawat & kluarga pasien .
Dwi Mbendil,"Iki itu pak kapolri ada buah sok sok jagoan tlg di tindakan lanjut i,jangan mentang punya pangkat jabatan semena semena."
Sahman,"Satpamnya nonton , mau narik ngak kena.. malah yg perempuan yg ngejjaga"
Eny Sulistyowati,"SAYA GAK NGERTI URUSAN MEDIS cuma ada pengalaman,saat cucu saya mau diinfus suster SANGAT SULIT mencari nadi cucu saya katanya TERLALU LEMBUT ,3 suster mengatasi hal itu sampai akhirnya diintus dikaki karena disitu katanya LEBIH BESAR.Posisi saat itu c…"
Aldo Tampu Efata Trio,"Nieh sicurytinya nga jelas,malah liatin bukanya nolong.lu sicurity apa""sieh??"
Anunya Kewer Kewer,Ya Allah ya Robb.. Nga boleh gitu pak... Itu perawat petugas yg melayani keluarga kita hormati profesi mereka..klo bpk tdk bisa menghormati dia sebagai perempuan... Hormati umur bapak sendiri.... Klo nga bisa juga bpk istigfar liat kaca klo bpk atau ke…
Royyadih,"Ngaku polisi ,,,,,heeeeh heee"
Willy Samudra,"Almarhum bapak gue cuci darah kadang bisa 3 sampai 5x ditusuk pake jarum tapi gue ga ngomel kyk si monyet baju merah ini.. karna gue paham, cari pembuluh darah emang susah, bukan pekerjaan gampang. Jadi wajar aja suster nya kadang suka salah berkali2 karna manusia biasa"
Yudith Yunanto Tjokrodilogo,"Bsk"" kalau sakit ga ada rumah sakit n perawat yang mau nerima,,"
Abu Nawas,Itu yg pake baju safari siapa? Dan tugasnya apa ya?
Kristiana Mony Sinaga,"Kalau pelakunya orang kaya, banyak duit dan disegani,, akhir cerita sudah pasti maaf saja, berdamai.. nah si korban yg banyak keperluan terpaksa mengikhlaskan itu hanya resiko pekerjaan, masalah trauma hanya dia yg menahan"
Nungky Anggraheni,Aku tuh gk pernah cari musuh knp km musuhhi aku
Hadiantods Hadiantods,"Saya pernah alami, ketika anak saya harus di infus, untuk infus sampai 6 jarum yang di gunakan, karena sudah mencari urat aliran darah nya, banyak darah yang keluar, dan kita sebagai keluarga pasien memaklumi dan berterimakasih kepada nakes, yang denga…"
Guswandi Chaniago,Saya kok gagal fokus sama security nya? Kok gak ada response?
Sigit Hariadi,Kami tunggu Vidio selanjutnya...Vidio ini kan ada bapak2 yg begitu sangat emosi dan sangat oragan. Untuk selanjutnya kita tunggu ceritanya..
Siti Halimah Qb,Semoga anak si bapak itu cepat sembuh dan kelak besar nanti menjadi seseorang yang bekerja di bagian pelayan publik
Apri Candy,Jadi polisi arogan dan bego ko pamer dan bangga
Alby Arrohman,Suruh keluar dan backlist keluarganya untuk masuk RS manapun.
Rimba,Kasian pada mereka pahlawan bagi saya karena mereka berjuang untuk orang banya yg pertama menyelamatkan nyawa orang lain walaupun takdir nya Allah SWT.
Ainun Na'im,Divisi Humas Polri silahkan di bersihkan oknum yg kayak gini.
Hikmat Darmawan,Apapun masalah nya penganiayaan terhadap orang lain melanggar hukum apalagi terhadap wanita pelayan masarakat...bila itu menimpa terhadap anggota keluarga saya ...artinya....perang...!!!!
Diah Hari,Harus tetap di proses Hukum . Keenakan . biarpun mereka pejabat atau orang kaya .Ojo sapenakmu dw .arogan .Tolong Pak Hotman Paris ...Bantu  seadil adil nya .
Saut Sihaloho Brighton,Tidak ada pembenaran apabila seseorang main hakim sendiri terlebih melakukan kekerasan fisik .
Sri Asniwati,Bisa Diselesaikan dengan baik baik.
Juni Hariandi,"Beliau hanya manusia biasa sm seperti kt, jika bener itu terjadi apa kah kita bs menyalah kan sepenuh nya ke perawat, ingat harta, rejeki, jodoh dan takdir hidup mu d dunia blm akhirat"
Naga Mahendra S. W,Bsk ke rs mana pun di indonesia jgn diterima. Biar dirawat sama keluarganya sendiri
Ard,Karna ini masih dalam suasana bulan ramadhan saya saya sekeluarga mengucapkab selamat menunaikan ibadah puasa
Yuli Crhistianty,Yaallah smpe segitu nya pengalaman anakku gendut diinfus ditangan ga ketemu uratnya sampe cabut pasang berkali2.. Akhirnya pindah ke kaki.. Diinfus nya.. Aku pasrahkan sama Allah.. Yg penting anakku ditangani dulu alhamdulillah skrg dah sehat kembali..
Bali Dewata,"Namanya diinfus ya keluar darah lah,dasar bloon, mungkin biasa berobat didukun x   ......jd pas berobat keRS diinfus keluar darah kaget ....klo w digituin langgsung w seret kepengadilan pasal penganiayaan"
ECi UsEumman,Astagfirullah haladzim...
Kang Mawang,Besok buka RS sendiri pak...jadi dokter sendiri......dirawat rawat sendiri...
Hermawan,"Next video ""saya  memohon maaf atas kekhilafan saya karena bla bla bla ,,dan saya berjanji tidak akan mengulanginya lagi"" selesai"
Midaz,sering sih gt...alm bos ane..
Rismauli Hutahaean,Sudah ada unsur kekerasan & penganiayaan...siap2 ya pak
Fahmi Cazorlla,"Walaupun gw gk pduli dngn postingan ini, tpi trimakasih sudah membaca komentar saya dalam hati walaupun hidup klian tidak berguna  ttp mngeluh dan jgn semangat"
Rohs,Dasar arogan  bapaknya rawat sendiri aja dirumah
Allamsyah,"Penjarakan saja orang itu se umur hidup, klw perlu hukum gantung."
Hardianto Ibnu Zakaria,Ah males ngeliat berita kayak begini paling endingnya nanti klarifikasi dengan kata kata yg sudah sangat KLISE yaitu MA'AF KARNA EMOSI dan ujung cerita Kedua belah pihak sepakat untuk DAMAI dan BLA BLA BLA..
Ki Ageng Pandanaran,SIKATTT JNGN DI KASIH AMPUN....!!! TUMAN....!!! tindakan semena2 & sok2 kan..! Kl emg aparat ya harus mengayomi bkn mlh arogan...! Ini negara hukum cokk...! Bkn negara bar2..!
Yosua Andhika Siahaan,Asik...ditunggu video saat buat BAP nya. Jng ada materai dan surat minta maaf
Anfar,"Apapun masalahx,, tdk dibenarkan memukul perawat,, keluarga mestinya bersabar,,, kejadian seperti ini banyak terjadi,  kalau memang gak mau dirawat di rs,, harusx rawat sendiri saja"
Taryono Chimote,"Yang pernah saya alami juga begitu waktu anak saya kurang satu tahun di infus ga dapet gagal, malah mau di infus di kepala saya cuma menangis memohon sama Alloh SWT....akhirnya Alhamdulillah."
Chandra Syahputra,salah bapaknya .kenapa bawa anak nya kerumah sakit.harusnya kedukun klo gak mau kena jarum.klo kedukun paling dikasih minum air putih.gak akan keluar darah pastinya
Papahe Firdan Lano,Baju merah anjim bgt
Hendrico Jansen Manik,Ngga Gt jg kali caranya.... Itu perempuan lhoo .. Cemen amat.. kalo ada kesalahan bisa dilapor ke kepala perawatnya.. saya  aja waktu dipasang infus salah Vena aja paling teriak sakit... Susternya minta maaf.. ngga papa sus...
Susi Jonathan,Tangan bpknya enteng bangett ya main tampar n jambak seorang wanita..bpk lahir dari mana pak
Uteh,"Anak gua kepala nya sampai di botaki cari pembulu darah kaki tangan semua   di suntik suntik sampai  lebih 20 kali   karena ke gemukan sampai nangis g ada suara nya ,sy diam sj cm nangis sejadi jadi nya lihat anak  di gitu  bkn g syg anak tp sy pengen …"
Mas Supriyono,Itu pak saptam diam saja keluar jurus maut .....
Frenthoels El Hazhi,Saran sy supaya anak ga keluar darah infusnya suruh di minumin aja kl ga mau ya tinggal di cekokin aja.
Arie Cuplis,Boleh gak Di palu  trus dicongkel matanya yg pake topi itu.. kalo merasa lebih mampu jng dibawa ke rumah sakit Krn tiap manusia itu uratnya beda2 ada yg mudah ditemukan dan ada yg butuh sabarr..
Apanx Candu Nikotin,"Pengalaman juga sih pernah anak rawat inap diklinik trus masang infusnya sampai 3x belum bisa katanya pembuluhnya nggak kelihatan dan susternya nggak berani coba lagi,,,akhirnya nunggu dokter datang aja,,,paginya setelah di tanganin dokternya satu kali…"
Bagas Praditiya,"Ujungnya juga pake kata2 sakti,""minta maaf"",hadeuhhh warga 62"
Gueido Skill Remington,"Tetap aja perbuatan main hakim sendiri apalagi sampai memakai kekerasan,tidak bs ditoleril.Laporkan proses.!!!"
Septiani Dwi Kartika,"Pasang infus ya pasti keluar darah lah, masa keluar Madu"
Tika Puspitasari,"Siloam RS mahal, merasa sudah bayar mahal mungkin, sementara masih banyak kesalahan, mungkin gara gara itu si Bapak bahagia.."
يوسمان هدايت,Lebay keluarganya..kek yg g pernah salah aja..hukum menanti boss
Okyy Pradana RA,Bos nih ya ane berbagi pengalaman... Anak saya dulu umur 2 tahun mau di infus di pegangin 4 perawat 1 dokter saya sama istri saya... Udah di pegangin susah nya minta ampun karna mengamuk... Intinya masang infus ga segampang anda memasukan nasi kemulut
Riko Saputra,Perawat tidak boleh diperlakukan seperti itu..masalah infus berdarah dll....harusnya disampaikan dengan baik...akhirnya berujung penganiayaan yang terjadi..miris
Iwan Santosa,Kalau punya pasien dan keluarganya main hakim sendiri di usir saja tetapi sebelum pergi di suntik virus covid-19 dulu biar mati.
Wilman Rante,"Sy waktu SD mau cek kesehatan lengkap di tusuk jarum sampai 5 kali sama perawatnya.. Mngkin gugup atau apa perawatnya salah tusuk, sy sampai nangis dan lengan saya bengkak, tapi bapak saya biasa saja.."
Hafid Adirizal,"Apapun masalahnya jangan melulu main fisik, masih banyak cara menyelesaikan masalah jangan selalu emosi yang diutamakan."
